threshold,overall_em,overall_f1,answerable_em,answerable_f1,unanswerable_accuracy,predicted_no_answer_rate,answerable_predicted_empty_rate,balanced_score,reader_priority_score
-10.0,12.427897220765601,28.329663913064557,17.866566151526573,40.727228859565855,0.0,0.0,0.0,20.363614429782928,28.509060201696098
-9.5,12.427897220765601,28.329663913064557,17.866566151526573,40.727228859565855,0.0,0.0,0.0,20.363614429782928,28.509060201696098
-9.0,12.427897220765601,28.329663913064557,17.866566151526573,40.727228859565855,0.0,0.0,0.0,20.363614429782928,28.509060201696098
-8.5,12.427897220765601,28.329663913064557,17.866566151526573,40.727228859565855,0.0,0.0,0.0,20.363614429782928,28.509060201696098
-8.0,12.427897220765601,28.329663913064557,17.866566151526573,40.727228859565855,0.0,0.0,0.0,20.363614429782928,28.509060201696098
-7.5,12.427897220765601,28.329663913064557,17.866566151526573,40.727228859565855,0.0,0.026219192448872573,0.03769317753486619,20.363614429782928,28.509060201696098
-7.0,12.480335605663345,28.3821022979623,17.866566151526573,40.727228859565855,0.17226528854435832,0.1048767697954903,0.07538635506973237,20.449747074055107,28.560739788259404
-6.5,12.768746722600945,28.61897197671188,17.828872973991707,40.6154387935089,1.205857019810508,0.8390141583639223,0.6784771956275915,20.910647906659705,28.79256426139938
-6.037066,13.24069218668065,29.021465701403155,17.79117979645684,40.477900559800844,2.842377260981912,2.018877818563188,1.6584998115341123,21.660138910391378,29.187243570155164
-6.0,13.319349764027267,29.100123278749773,17.79117979645684,40.477900559800844,3.10077519379845,2.1237545883586786,1.6961929890689784,21.789337876799646,29.264762950000126
-5.537902,14.105925537493444,29.72335616949747,17.79117979645684,40.24307592554216,5.684754521963824,4.011536444677504,3.2793064455333583,22.96391522375299,29.875579504468654
-5.5,14.184583114840063,29.80201374684409,17.79117979645684,40.24307592554216,5.943152454780361,4.116413214472995,3.3169996230682246,23.09311419016126,29.953098884313615
-5.194664,14.944939695857368,30.44652185854825,17.71579344138711,40.00114374990691,8.613264427217915,6.00419507079182,4.862419901997739,24.30720408856241,30.584779953100206
-5.0,15.495542737283692,30.860578464066148,17.678100263852244,39.767148986787895,10.508182601205856,7.446250655479811,6.106294760648322,25.137665793996874,30.989459071113284
-4.936033,15.78395385422129,31.101054307183613,17.678100263852244,39.698236384318996,11.455641688199828,8.023072889355008,6.520919713531851,25.57693903625941,31.225457975483245
-4.714684,16.334556895647616,31.428035347146476,17.565020731247643,39.263673883911295,13.522825150732128,10.015731515469323,8.480964945344892,26.393249517321713,31.541419263957543
-4.50063,16.91137912952281,31.817052354875027,17.41424802110818,38.84290903938687,15.762273901808786,12.00839014158364,10.365623822088201,27.302591470597825,31.918718498113442
-4.5,16.91137912952281,31.817052354875027,17.41424802110818,38.84290903938687,15.762273901808786,12.00839014158364,10.365623822088201,27.302591470597825,31.918718498113442
-4.268166,17.671735710540116,32.39393871917893,17.22578213343385,38.390683104013725,18.69078380706288,14.001048767697954,11.948737278552581,28.5407334555383,32.480713314928465
-4.082142,18.274777136864184,32.80717754067418,17.112702600829248,38.00473996989496,20.930232558139537,16.019926586261143,13.871089332830758,29.46748626401725,32.88238774636834
-4.0,18.589407446250654,33.042843429334845,17.112702600829248,37.891219313789335,21.963824289405686,16.832721552176192,14.587259705993215,29.92752180159751,33.11300080647424
-3.935873,18.95647614053487,33.2315467369243,17.075009423294382,37.59710488301142,23.25581395348837,18.01258521237546,15.718055032039201,30.426459418249895,33.294717604154506
-3.773175,19.585736759307814,33.55936268830435,16.99962306822465,37.08835631104138,25.49526270456503,20.005243838489775,17.602713908782512,31.291809507803205,33.610428229098474
-3.5952,20.398531725222863,34.13887308316129,16.81115718055032,36.564516373606175,28.59603789836348,21.997902464604092,19.11044101017716,32.58027713598483,34.17397283103337
-3.5,20.686942842160462,34.24869362333566,16.660384470410854,36.15699867297482,29.88802756244617,23.2302045097011,20.316622691292874,33.022513117710496,34.27630733981623
-3.456578,21.054011536444676,34.58381330164957,16.622691292875988,36.07337502167036,31.180017226528854,24.01678028316728,20.88202035431587,33.62669612409961,34.6053676831279
-3.313249,21.945464079706344,35.21648316177525,16.584998115341122,35.663651254809956,34.194659776055126,26.009438909281595,22.427440633245382,34.92915551543254,35.22295381118351
-3.18167,22.62716308337703,35.6798463042754,16.43422540520166,35.19899502619916,36.7786391042205,28.002097535395908,24.161326799849228,35.98881706520983,35.672888249605556
-3.050914,23.177766124803355,35.92501054934632,16.358839050131927,34.68450442337235,38.75968992248062,29.994756161510225,26.159065209197134,36.72209717292648,35.90706007310483
-3.0,23.387519664394336,36.030878120704806,16.283452695062195,34.459769752117644,39.621016365202415,30.72889355007866,26.837542404824728,37.04039305866003,36.008143736043074
-2.915362,23.807026743576298,36.28980155335564,16.170373162457594,34.115832312287374,41.25753660637382,32.013633980073415,27.96833773087071,37.68668445933059,36.25834360051331
-2.789631,24.22653382275826,36.404430598051846,15.944214097248398,33.451375160561525,43.15245478036176,34.00629260618773,30.003769317753488,38.30191497046164,36.36169904650159
-2.648788,25.03932878867331,37.019648511176285,15.831134564643799,33.05425534173629,46.08096468561585,35.99895123230205,31.586882774217866,39.56761001367607,36.96226814490015
-2.518549,25.511274252753015,37.240497524808646,15.567282321899736,32.42942237452701,48.23428079242033,37.99160985841636,33.50923482849604,40.331851583473664,37.170879899895
-2.5,25.53749344520189,37.24720118646773,15.491895966830004,32.32598014518957,48.492678725236864,38.280020975353956,33.810780248774975,40.409329435213216,37.175989719203756
-2.366753,26.114315679077084,37.5537723590361,15.416509611760272,31.86207605629992,50.55986218776916,40.01048767697955,35.39389370523935,41.21096912203454,37.471411895740694
-2.224218,26.56004195070792,37.7061611290845,15.265736901620807,31.28959613506531,52.368647717484926,42.003146303093864,37.46701846965699,41.82912192627512,37.6133116097912
-2.069961,27.08442579968537,37.95215012606121,15.152657369016207,30.77629121025159,54.34969853574505,43.995804929208184,39.4647568790049,42.56299487299832,37.848313407899624
-2.0,27.241740954378606,37.875294408360816,14.964191481341878,30.251177110248076,55.29715762273902,44.99213424226534,40.482472672446285,42.77416736649355,37.76497126399536
-1.922223,27.477713686418458,37.97376054696375,14.888805126272144,29.978108830048907,56.24461670973299,45.9884635553225,41.500188465887675,43.111362769890945,37.85806119395413
-1.9,27.556371263765076,37.97351323623045,14.813418771202413,29.789287404064442,56.67527993109388,46.35553224960671,41.83942706370147,43.23228366757916,37.855085162173275
-1.811376,27.8185631882538,37.99078268174729,14.511873350923484,29.13563707055566,58.22566752799311,48.00734137388569,43.53562005277045,43.680652299274385,37.862646207786895
-1.8,27.871001573151545,38.03273338966549,14.474180173388616,29.082866622006847,58.484065460809646,48.138437336130046,43.61100640784018,43.783466041408246,37.90322627364769
-1.7,27.923439958049293,37.81617212792124,14.323407463249152,28.545375234033777,59.000861326442724,49.44939695857368,45.26950621937429,43.77311828023825,37.68202106175646
