threshold,overall_em,overall_f1,answerable_em,answerable_f1,unanswerable_accuracy,predicted_no_answer_rate,answerable_predicted_empty_rate,balanced_score,reader_priority_score
-11.79794,2.0,25.03934942669179,0.0,33.881396215723214,3.125,4.0,4.411764705882353,18.503198107861607,24.65447735100625
-11.021641,3.0,25.28934942669179,0.0,32.77845503925263,6.25,6.0,5.882352941176471,19.514227519626314,24.819918527476837
-10.0,4.0,26.28934942669179,0.0,32.77845503925263,9.375,7.0,5.882352941176471,21.076727519626314,25.757418527476837
-9.640834,4.0,26.220383909450405,0.0,32.67703516095648,9.375,8.0,7.352941176470588,21.02601758047824,25.686424612669533
-9.5,4.0,25.55371724278374,0.0,31.696643004093737,9.375,9.0,8.823529411764707,20.53582150204687,25.000150102865614
-9.255419,5.0,26.55371724278374,0.0,31.696643004093737,12.5,10.0,8.823529411764707,22.09832150204687,25.937650102865614
-9.019314,7.0,28.55371724278374,0.0,31.696643004093737,18.75,12.0,8.823529411764707,25.22332150204687,27.812650102865614
-9.0,7.0,28.55371724278374,0.0,31.696643004093737,18.75,12.0,8.823529411764707,25.22332150204687,27.812650102865614
-8.905841,7.0,28.238565727632228,0.0,31.233184893576805,18.75,14.0,11.764705882352942,24.991592446788403,27.48822942550376
-8.5,7.0,27.220708584775085,0.0,29.736336154081002,18.75,16.0,14.705882352941176,24.2431680770405,26.4404353078567
-8.333297,7.0,27.220708584775085,0.0,29.736336154081002,18.75,16.0,14.705882352941176,24.2431680770405,26.4404353078567
-8.0,7.0,27.220708584775085,0.0,29.736336154081002,18.75,16.0,14.705882352941176,24.2431680770405,26.4404353078567
-7.788391,7.0,26.554041918108414,0.0,28.755943997218257,18.75,18.0,17.647058823529413,23.752971998609127,25.75416079805278
-7.664648,8.0,26.98261334667984,0.0,27.91560786276447,21.875,20.0,19.11764705882353,24.895303931382237,26.103425503935128
-7.5,8.0,26.073522437588935,0.0,26.578709467042554,21.875,22.0,22.058823529411764,24.22685473352128,25.167596626929786
-7.448565,8.0,26.073522437588935,0.0,26.578709467042554,21.875,22.0,22.058823529411764,24.22685473352128,25.167596626929786
-7.128636,9.0,27.073522437588935,0.0,26.578709467042554,25.0,24.0,23.529411764705884,25.78935473352128,26.105096626929786
-7.0,9.0,27.073522437588935,0.0,26.578709467042554,25.0,24.0,23.529411764705884,25.78935473352128,26.105096626929786
-6.826293,9.0,25.740189104255602,0.0,24.617925153317056,25.0,26.0,26.470588235294116,24.80896257665853,24.732547607321937
-6.638721,9.0,25.073522437588935,0.0,23.63753299645432,25.0,28.0,29.41176470588235,24.31876649822716,24.04627309751802
-6.5,9.0,25.073522437588935,0.0,23.63753299645432,25.0,29.0,30.88235294117647,24.31876649822716,24.04627309751802
-6.203994,10.0,26.073522437588935,0.0,23.63753299645432,28.125,30.0,30.88235294117647,25.88126649822716,24.98377309751802
-6.034079,12.0,28.073522437588935,0.0,23.63753299645432,34.375,32.0,30.88235294117647,29.00626649822716,26.85877309751802
-6.0,12.0,28.073522437588935,0.0,23.63753299645432,34.375,32.0,30.88235294117647,29.00626649822716,26.85877309751802
-5.799896,13.0,29.073522437588935,0.0,23.63753299645432,37.5,34.0,32.35294117647059,30.56876649822716,27.79627309751802
-5.713598,13.0,28.240189104255602,0.0,22.412042800375882,37.5,35.0,33.8235294117647,29.956021400187943,26.938429960263115
-5.505909,13.0,27.470958335024832,0.0,21.280821080918866,37.5,37.0,36.76470588235294,29.390410540459435,26.146574756643204
